Simulation ID-19
===================

1) General info 
-------------------
Simulation type: SEIR
Thread ID: 1

2) Initial populations 
-------------------
Susceptible: 106
Exposed: 0
Infected: 1
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.000154973
Infected mortality rate (v): 0.0239251
Recovery rate (r): 0.0640353
Incubation period (I): 0.091148
Infection rate (b): 0.547602

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Exposed | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|0.000  |106          |0        |1         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.219  |105          |1        |1         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.414  |104          |2        |1         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.588  |103          |3        |1         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.746  |102          |4        |1         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.890  |102          |3        |2         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.986  |101          |4        |2         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.076  |101          |3        |3         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.145  |100          |4        |3         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.211  |99           |5        |3         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.275  |98           |6        |3         |0          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.337  |98           |6        |2         |1          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.420  |97           |7        |2         |1          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.499  |97           |6        |3         |1          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.562  |97           |6        |2         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.645  |96           |7        |2         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.725  |95           |8        |2         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.801  |95           |7        |3         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.862  |94           |8        |3         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.921  |94           |7        |4         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|1.970  |93           |8        |4         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.018  |92           |9        |4         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.066  |91           |10       |4         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.112  |90           |11       |4         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.157  |90           |10       |5         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.196  |90           |9        |6         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.231  |90           |8        |7         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.263  |89           |9        |7         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.294  |88           |10       |7         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.325  |87           |11       |7         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.356  |86           |12       |7         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.386  |86           |11       |8         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.414  |86           |10       |9         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.439  |85           |11       |9         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.465  |84           |12       |9         |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.490  |84           |11       |10        |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.513  |84           |10       |11        |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.535  |83           |11       |11        |2          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|2.557  |83           |11       |10        |3          |107               | ||| |0       |0                     |0                  |0                   |0                          |0               |
