Time,Susceptible,Exposed,Infected,Recovered,Total Population,Births,Deaths - Susceptible, Deaths - Infected, Deaths - Recovered, Deaths - Due to Infection, Deaths - Total
0,105,0,1,0,106,0,0,0,0,0,0
0.0355305,104,0,1,0,105,0,1,0,0,0,1
0.0713746,103,0,1,0,104,0,2,0,0,0,2
0.107538,102,0,1,0,103,0,3,0,0,0,3
0.144026,101,1,1,0,103,0,3,0,0,0,3
0.180522,102,1,1,0,104,1,3,0,0,0,3
0.216692,103,1,1,0,105,2,3,0,0,0,3
0.252543,102,1,1,0,104,2,4,0,0,0,4
0.288713,103,1,1,0,105,3,4,0,0,0,4
0.324564,104,1,1,0,106,4,4,0,0,0,4
0.360101,105,1,1,0,107,5,4,0,0,0,4
0.39533,106,1,1,0,108,6,4,0,0,0,4
0.430256,107,1,1,0,109,7,4,0,0,0,4
0.464884,106,2,1,0,109,7,4,0,0,0,4
0.499518,105,2,1,0,108,7,5,0,0,0,5
0.53445,104,2,1,0,107,7,6,0,0,0,6
0.569685,105,2,1,0,108,8,6,0,0,0,6
0.604617,106,2,1,0,109,9,6,0,0,0,6
0.639251,107,2,1,0,110,10,6,0,0,0,6
0.673592,106,2,1,0,109,10,7,0,0,0,7
0.708226,105,3,1,0,109,10,7,0,0,0,7
0.742865,105,3,0,1,109,10,7,0,0,0,7
0.780122,106,3,0,1,110,11,7,0,0,0,7
0.817041,105,3,0,1,109,11,8,0,0,0,8
0.854297,104,3,0,1,108,11,9,0,0,0,9
0.891899,103,3,0,1,107,11,10,0,0,0,10
0.929852,104,3,0,1,108,12,10,0,0,0,10
0.967453,105,3,0,1,109,13,10,0,0,0,10
1.00471,104,3,0,1,108,13,11,0,0,0,11
1.04231,103,3,0,1,107,13,12,0,0,0,12
1.08026,104,3,0,1,108,14,12,0,0,0,12
1.11787,103,3,0,1,107,14,13,0,0,0,13
1.15582,104,3,0,1,108,15,13,0,0,0,13
1.19342,105,3,0,1,109,16,13,0,0,0,13
1.23068,106,3,0,1,110,17,13,0,0,0,13
1.2676,107,3,0,1,111,18,13,0,0,0,13
1.30418,108,3,0,1,112,19,13,0,0,0,13
1.34044,107,3,0,1,111,19,14,0,0,0,14
1.37703,106,3,0,1,110,19,15,0,0,0,15
1.41395,107,3,0,1,111,20,15,0,0,0,15
1.45053,106,3,0,1,110,20,16,0,0,0,16
1.48745,107,3,0,1,111,21,16,0,0,0,16
1.52404,106,3,0,1,110,21,17,0,0,0,17
1.56095,105,3,0,1,109,21,18,0,0,0,18
1.59821,106,3,0,1,110,22,18,0,0,0,18
1.63513,107,3,0,1,111,23,18,0,0,0,18
1.67171,108,3,0,1,112,24,18,0,0,0,18
1.70797,107,3,0,1,111,24,19,0,0,0,19
1.74456,108,3,0,1,112,25,19,0,0,0,19
1.78082,107,3,0,1,111,25,20,0,0,0,20
1.81741,108,3,0,1,112,26,20,0,0,0,20
1.85367,109,3,0,1,113,27,20,0,0,0,20
1.8896,108,3,0,1,112,27,21,0,0,0,21
1.92586,107,3,0,1,111,27,22,0,0,0,22
1.96245,108,3,0,1,112,28,22,0,0,0,22
1.99871,107,3,0,1,111,28,23,0,0,0,23
2.03529,106,3,0,1,110,28,24,0,0,0,24
2.07221,106,2,1,1,110,28,24,0,0,0,24
2.10657,105,3,1,1,110,28,24,0,0,0,24
2.14092,106,3,1,1,111,29,24,0,0,0,24
2.17499,105,4,1,1,111,29,24,0,0,0,24
2.20907,105,4,0,2,111,29,24,0,0,0,24
2.24565,106,4,0,2,112,30,24,0,0,0,24
2.2819,107,4,0,2,113,31,24,0,0,0,24
2.31783,106,4,0,2,112,31,25,0,0,0,25
2.35409,105,4,0,2,111,31,26,0,0,0,26
2.39066,106,4,0,2,112,32,26,0,0,0,26
2.42692,107,4,0,2,113,33,26,0,0,0,26
2.46285,108,4,0,2,114,34,26,0,0,0,26
2.49847,109,4,0,2,115,35,26,0,0,0,26
2.53377,108,4,0,2,114,35,27,0,0,0,27
2.56939,109,4,0,2,115,36,27,0,0,0,27
2.6047,110,4,0,2,116,37,27,0,0,0,27
2.6397,111,4,0,2,117,38,27,0,0,0,27
2.67441,112,4,0,2,118,39,27,0,0,0,27
2.70882,111,4,0,2,117,39,28,0,0,0,28
2.74352,112,4,0,2,118,40,28,0,0,0,28
2.77793,111,4,0,2,117,40,29,0,0,0,29
2.81264,110,4,0,2,116,40,30,0,0,0,30
2.84764,109,4,0,2,115,40,31,0,0,0,31
2.88295,108,4,0,2,114,40,32,0,0,0,32
2.91856,109,4,0,2,115,41,32,0,0,0,32
2.95387,108,4,0,2,114,41,33,0,0,0,33
2.98949,108,3,1,2,114,41,33,0,0,0,33
3.02273,107,3,1,2,113,41,34,0,0,0,34
3.05625,106,3,1,2,112,41,35,0,0,0,35
3.09005,107,3,1,2,113,42,35,0,0,0,35
3.12357,106,3,1,2,112,42,36,0,0,0,36
3.15736,105,4,1,2,112,42,36,0,0,0,36
3.19117,104,5,1,2,112,42,36,0,0,0,36
3.22497,105,5,1,2,113,43,36,0,0,0,36
3.2585,106,5,1,2,114,44,36,0,0,0,36
3.29176,105,5,1,2,113,44,37,0,0,0,37
3.32528,105,5,0,2,112,44,37,1,0,0,38
3.36153,104,5,0,2,111,44,38,1,0,0,39
3.3981,103,5,0,2,110,44,39,1,0,0,40
3.43501,104,5,0,2,111,45,39,1,0,0,40
3.47158,103,5,0,2,110,45,40,1,0,0,41
3.50848,104,5,0,2,111,46,40,1,0,0,41
3.54505,105,5,0,2,112,47,40,1,0,0,41
3.5813,104,5,0,2,111,47,41,1,0,0,42
3.61787,105,5,0,2,112,48,41,1,0,0,42
3.65412,104,5,0,2,111,48,42,1,0,0,43
3.69069,105,5,0,2,112,49,42,1,0,0,43
3.72693,105,4,1,2,112,49,42,1,0,0,43
3.76074,104,4,1,2,111,49,43,1,0,0,44
3.79482,103,4,1,2,110,49,44,1,0,0,45
3.8292,104,4,1,2,111,50,44,1,0,0,45
3.86329,105,4,1,2,112,51,44,1,0,0,45
3.89709,106,4,1,2,113,52,44,1,0,0,45
3.93061,105,4,1,2,112,52,45,1,0,0,46
3.96442,104,4,1,2,111,52,46,1,0,0,47
3.9985,105,4,1,2,112,53,46,1,0,0,47
4.03231,106,4,1,2,113,54,46,1,0,0,47
4.06583,105,5,1,2,113,54,46,1,0,0,47
4.09936,105,5,0,3,113,54,46,1,0,0,47
4.13528,104,5,0,3,112,54,47,1,0,0,48
4.17153,105,5,0,3,113,55,47,1,0,0,48
4.20745,106,5,0,3,114,56,47,1,0,0,48
4.24306,107,5,0,3,115,57,47,1,0,0,48
4.27836,108,5,0,3,116,58,47,1,0,0,48
4.31336,109,5,0,3,117,59,47,1,0,0,48
4.34806,110,5,0,3,118,60,47,1,0,0,48
4.38246,111,5,0,3,119,61,47,1,0,0,48
4.41658,112,5,0,3,120,62,47,1,0,0,48
4.45041,113,5,0,3,121,63,47,1,0,0,48
4.48396,114,5,0,3,122,64,47,1,0,0,48
4.51724,115,5,0,3,123,65,47,1,0,0,48
4.55025,114,5,0,3,122,65,48,1,0,0,49
4.58352,115,5,0,3,123,66,48,1,0,0,49
4.61653,116,5,0,3,124,67,48,1,0,0,49
4.64927,115,5,0,3,123,67,49,1,0,0,50
4.68228,115,4,1,3,123,67,49,1,0,0,50
4.71325,114,4,1,3,122,67,50,1,0,0,51
4.74446,113,4,1,3,121,67,51,1,0,0,52
4.77591,112,4,1,3,120,67,52,1,0,0,53
4.80761,111,5,1,3,120,67,52,1,0,0,53
4.83931,110,5,1,3,119,67,53,1,0,0,54
4.87127,109,5,1,3,118,67,54,1,0,0,55
4.90347,110,5,1,3,119,68,54,1,0,0,55
4.93542,109,6,1,3,119,68,54,1,0,0,55
4.96738,108,6,1,3,118,68,55,1,0,0,56
4.99959,109,6,1,3,119,69,55,1,0,0,56
5.03155,108,6,1,3,118,69,56,1,0,0,57
5.06376,109,6,1,3,119,70,56,1,0,0,57
5.09572,110,6,1,3,120,71,56,1,0,0,57
5.12742,109,6,1,3,119,71,57,1,0,0,58
5.15938,109,5,2,3,119,71,57,1,0,0,58
5.18944,108,5,2,3,118,71,58,1,0,0,59
5.21973,109,5,2,3,119,72,58,1,0,0,59
5.2498,110,5,2,3,120,73,58,1,0,0,59
5.27964,109,5,2,3,119,73,59,1,0,0,60
5.3097,110,5,2,3,120,74,59,1,0,0,60
5.33954,109,5,2,3,119,74,60,1,0,0,61
5.36961,108,5,2,3,118,74,61,1,0,0,62
5.3999,109,5,2,3,119,75,61,1,0,0,62
5.42996,108,5,2,3,118,75,62,1,0,0,63
5.46025,109,5,2,3,119,76,62,1,0,0,63
5.49031,108,5,2,3,118,76,63,1,0,0,64
