Simulation ID-2283
===================

1) General info 
-------------------
Simulation type: SEIR_simplified
Thread ID: 3

2) Initial populations 
-------------------
Susceptible: 114
Exposed: 0
Infected: 1
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.00126052
Infected mortality rate (v): 0.0296927
Recovery rate (r): 0.0152412
Incubation period (I): 0.164016
Infection rate (b): 0.500029

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Exposed | Infected | Recovered | Total Population |
|0.000  |114          |0        |1         |0          |115               |
|0.285  |113          |1        |1         |0          |115               |
|0.502  |112          |2        |1         |0          |115               |
|0.677  |112          |2        |0         |1          |115               |
|1.121  |112          |1        |1         |1          |115               |
|1.340  |112          |0        |2         |1          |115               |
|1.485  |111          |1        |2         |1          |115               |
|1.610  |110          |2        |2         |1          |115               |
|1.721  |109          |3        |2         |1          |115               |
|1.820  |109          |2        |3         |1          |115               |
|1.901  |108          |3        |3         |1          |115               |
|1.976  |107          |4        |3         |1          |115               |
|2.045  |107          |3        |4         |1          |115               |
|2.105  |106          |4        |4         |1          |115               |
|2.162  |105          |5        |4         |1          |115               |
|2.216  |104          |6        |4         |1          |115               |
|2.267  |103          |7        |4         |1          |115               |
|2.316  |102          |8        |4         |1          |115               |
|2.362  |101          |9        |4         |1          |115               |
|2.406  |100          |10       |4         |1          |115               |
|2.448  |99           |11       |4         |1          |115               |
|2.489  |99           |10       |5         |1          |115               |
|2.527  |98           |11       |5         |1          |115               |
|2.563  |98           |10       |6         |1          |115               |
|2.597  |97           |11       |6         |1          |115               |
|2.630  |96           |12       |6         |1          |115               |
|2.662  |95           |13       |6         |1          |115               |
|2.693  |94           |14       |6         |1          |115               |
|2.723  |93           |15       |6         |1          |115               |
|2.752  |93           |14       |7         |1          |115               |
|2.780  |93           |13       |8         |1          |115               |
|2.806  |92           |14       |8         |1          |115               |
|2.832  |92           |13       |9         |1          |115               |
|2.857  |91           |14       |9         |1          |115               |
|2.881  |91           |13       |10        |1          |115               |
|2.904  |90           |14       |10        |1          |115               |
|2.927  |89           |15       |10        |1          |115               |
|2.950  |89           |14       |11        |1          |115               |
|2.971  |88           |15       |11        |1          |115               |
|2.993  |87           |16       |11        |1          |115               |
|3.014  |86           |17       |11        |1          |115               |
|3.034  |85           |18       |11        |1          |115               |
|3.055  |84           |19       |11        |1          |115               |
|3.075  |84           |18       |12        |1          |115               |
|3.094  |83           |19       |12        |1          |115               |
|3.113  |83           |18       |13        |1          |115               |
|3.132  |83           |17       |14        |1          |115               |
|3.150  |82           |18       |14        |1          |115               |
|3.167  |82           |17       |15        |1          |115               |
|3.185  |81           |18       |15        |1          |115               |
|3.202  |81           |17       |16        |1          |115               |
|3.219  |81           |16       |17        |1          |115               |
|3.235  |80           |17       |17        |1          |115               |
|3.252  |79           |18       |17        |1          |115               |
|3.268  |78           |19       |17        |1          |115               |
|3.284  |78           |18       |18        |1          |115               |
|3.299  |78           |17       |19        |1          |115               |
|3.314  |78           |16       |20        |1          |115               |
|3.329  |77           |17       |20        |1          |115               |
|3.344  |76           |18       |20        |1          |115               |
|3.359  |75           |19       |20        |1          |115               |
|3.374  |74           |20       |20        |1          |115               |
|3.388  |74           |19       |21        |1          |115               |
|3.402  |73           |20       |21        |1          |115               |
|3.417  |72           |21       |21        |1          |115               |
|3.431  |72           |20       |22        |1          |115               |
|3.445  |72           |19       |23        |1          |115               |
|3.458  |72           |18       |24        |1          |115               |
|3.472  |71           |19       |24        |1          |115               |
|3.485  |71           |18       |25        |1          |115               |
|3.498  |71           |17       |26        |1          |115               |
|3.511  |70           |18       |26        |1          |115               |
|3.524  |69           |19       |26        |1          |115               |
|3.537  |69           |18       |27        |1          |115               |
|3.550  |69           |17       |28        |1          |115               |
|3.562  |68           |18       |28        |1          |115               |
|3.575  |67           |19       |28        |1          |115               |
|3.587  |66           |20       |28        |1          |115               |
|3.600  |65           |21       |28        |1          |115               |
|3.612  |65           |20       |29        |1          |115               |
|3.624  |65           |19       |30        |1          |115               |
|3.636  |64           |20       |30        |1          |115               |
|3.648  |63           |21       |30        |1          |115               |
|3.660  |62           |22       |30        |1          |115               |
|3.672  |61           |23       |30        |1          |115               |
|3.684  |60           |24       |30        |1          |115               |
|3.696  |59           |25       |30        |1          |115               |
|3.708  |58           |26       |30        |1          |115               |
|3.720  |57           |27       |30        |1          |115               |
|3.732  |56           |28       |30        |1          |115               |
|3.743  |55           |29       |30        |1          |115               |
|3.755  |54           |30       |30        |1          |115               |
|3.767  |54           |29       |31        |1          |115               |
|3.779  |53           |30       |31        |1          |115               |
|3.790  |52           |31       |31        |1          |115               |
|3.802  |51           |32       |31        |1          |115               |
|3.813  |50           |33       |31        |1          |115               |
|3.825  |50           |32       |32        |1          |115               |
|3.836  |49           |33       |32        |1          |115               |
|3.848  |48           |34       |32        |1          |115               |
|3.859  |47           |35       |32        |1          |115               |
|3.871  |46           |36       |32        |1          |115               |
|3.882  |46           |36       |31        |2          |115               |
|3.894  |46           |35       |32        |2          |115               |
|3.905  |46           |34       |33        |2          |115               |
|3.917  |45           |35       |33        |2          |115               |
|3.928  |44           |36       |33        |2          |115               |
|3.939  |44           |35       |34        |2          |115               |
|3.951  |43           |36       |34        |2          |115               |
|3.962  |43           |35       |35        |2          |115               |
|3.974  |43           |35       |34        |3          |115               |
|3.985  |42           |36       |34        |3          |115               |
|3.997  |41           |37       |34        |3          |115               |
|4.008  |41           |36       |35        |3          |115               |
|4.020  |41           |35       |36        |3          |115               |
|4.031  |41           |34       |37        |3          |115               |
|4.043  |40           |35       |37        |3          |115               |
|4.054  |40           |34       |38        |3          |115               |
|4.065  |40           |33       |39        |3          |115               |
|4.077  |40           |32       |40        |3          |115               |
|4.088  |40           |31       |41        |3          |115               |
|4.099  |40           |30       |42        |3          |115               |
|4.111  |40           |29       |43        |3          |115               |
|4.122  |39           |30       |43        |3          |115               |
|4.133  |38           |31       |43        |3          |115               |
|4.145  |38           |30       |44        |3          |115               |
|4.156  |38           |29       |45        |3          |115               |
|4.167  |37           |30       |45        |3          |115               |
|4.179  |36           |31       |45        |3          |115               |
|4.190  |35           |32       |45        |3          |115               |
|4.201  |35           |31       |46        |3          |115               |
|4.213  |34           |32       |46        |3          |115               |
|4.224  |33           |33       |46        |3          |115               |
|4.236  |33           |32       |47        |3          |115               |
|4.247  |32           |33       |47        |3          |115               |
|4.259  |32           |32       |48        |3          |115               |
|4.270  |32           |31       |49        |3          |115               |
|4.282  |31           |32       |49        |3          |115               |
|4.293  |31           |31       |50        |3          |115               |
|4.305  |30           |32       |50        |3          |115               |
|4.316  |29           |33       |50        |3          |115               |
|4.328  |28           |34       |50        |3          |115               |
|4.340  |27           |35       |50        |3          |115               |
|4.351  |27           |34       |51        |3          |115               |
|4.363  |26           |35       |51        |3          |115               |
|4.375  |25           |36       |51        |3          |115               |
|4.387  |25           |35       |52        |3          |115               |
|4.399  |24           |36       |52        |3          |115               |
|4.411  |24           |36       |51        |4          |115               |
|4.423  |23           |37       |51        |4          |115               |
|4.435  |22           |38       |51        |4          |115               |
|4.448  |22           |37       |52        |4          |115               |
|4.460  |21           |38       |52        |4          |115               |
|4.472  |21           |37       |53        |4          |115               |
|4.485  |21           |36       |54        |4          |115               |
|4.497  |21           |35       |55        |4          |115               |
|4.510  |21           |35       |54        |5          |115               |
|4.522  |20           |36       |54        |5          |115               |
|4.535  |20           |35       |55        |5          |115               |
|4.548  |20           |34       |56        |5          |115               |
|4.561  |20           |33       |57        |5          |115               |
|4.574  |20           |32       |58        |5          |115               |
|4.587  |19           |33       |58        |5          |115               |
|4.600  |18           |34       |58        |5          |115               |
|4.613  |18           |34       |57        |6          |115               |
|4.626  |17           |35       |57        |6          |115               |
|4.640  |16           |36       |57        |6          |115               |
|4.653  |15           |37       |57        |6          |115               |
|4.667  |14           |38       |57        |6          |115               |
|4.681  |13           |39       |57        |6          |115               |
|4.695  |13           |38       |58        |6          |115               |
|4.709  |12           |39       |58        |6          |115               |
|4.723  |12           |38       |59        |6          |115               |
|4.737  |12           |37       |60        |6          |115               |
|4.752  |12           |36       |61        |6          |115               |
|4.766  |11           |37       |61        |6          |115               |
|4.781  |10           |38       |61        |6          |115               |
|4.796  |9            |39       |61        |6          |115               |
|4.811  |9            |38       |62        |6          |115               |
|4.826  |8            |39       |62        |6          |115               |
|4.841  |8            |38       |63        |6          |115               |
|4.857  |8            |37       |64        |6          |115               |
|4.872  |8            |36       |65        |6          |115               |
|4.888  |8            |35       |66        |6          |115               |
|4.904  |8            |34       |67        |6          |115               |
|4.921  |7            |35       |67        |6          |115               |
|4.937  |7            |34       |68        |6          |115               |
|4.954  |7            |33       |69        |6          |115               |
|4.971  |7            |32       |70        |6          |115               |
|4.988  |7            |31       |71        |6          |115               |
|5.006  |6            |32       |71        |6          |115               |
|5.023  |6            |31       |72        |6          |115               |
|5.042  |6            |31       |71        |7          |115               |
|5.060  |5            |32       |71        |7          |115               |
|5.078  |5            |32       |70        |8          |115               |
|5.097  |5            |32       |69        |9          |115               |
|5.115  |4            |33       |69        |9          |115               |
|5.134  |4            |32       |70        |9          |115               |
|5.154  |4            |31       |71        |9          |115               |
|5.173  |4            |31       |70        |10         |115               |
|5.193  |4            |31       |69        |11         |115               |
|5.213  |4            |30       |70        |11         |115               |
|5.233  |4            |29       |71        |11         |115               |
|5.254  |3            |30       |71        |11         |115               |
|5.275  |2            |31       |71        |11         |115               |
|5.296  |2            |30       |72        |11         |115               |
|5.318  |2            |29       |73        |11         |115               |
|5.341  |2            |28       |74        |11         |115               |
|5.363  |2            |27       |75        |11         |115               |
|5.387  |2            |26       |76        |11         |115               |
|5.411  |2            |25       |77        |11         |115               |
|5.435  |2            |25       |76        |12         |115               |
|5.460  |1            |26       |76        |12         |115               |
|5.485  |1            |26       |75        |13         |115               |
|5.511  |1            |25       |76        |13         |115               |
|5.537  |1            |24       |77        |13         |115               |
|5.563  |1            |23       |78        |13         |115               |
|5.591  |1            |23       |77        |14         |115               |
|5.618  |1            |22       |78        |14         |115               |
|5.647  |1            |21       |79        |14         |115               |
|5.676  |1            |20       |80        |14         |115               |
|5.706  |1            |19       |81        |14         |115               |
|5.737  |1            |19       |80        |15         |115               |
|5.768  |1            |18       |81        |15         |115               |
|5.800  |1            |17       |82        |15         |115               |
|5.833  |1            |17       |81        |16         |115               |
|5.866  |0            |18       |81        |16         |115               |
|5.901  |0            |18       |80        |17         |115               |
|5.936  |0            |17       |81        |17         |115               |
|5.972  |0            |16       |82        |17         |115               |
|6.010  |0            |15       |83        |17         |115               |
|6.049  |0            |15       |82        |18         |115               |
|6.088  |0            |14       |83        |18         |115               |
|6.129  |0            |13       |84        |18         |115               |
|6.172  |0            |12       |85        |18         |115               |
|6.216  |0            |11       |86        |18         |115               |
|6.263  |0            |10       |87        |18         |115               |
|6.312  |0            |9        |88        |18         |115               |
|6.364  |0            |9        |87        |19         |115               |
|6.416  |0            |8        |88        |19         |115               |
|6.471  |0            |7        |89        |19         |115               |
|6.529  |0            |7        |88        |20         |115               |
|6.587  |0            |6        |89        |20         |115               |
|6.649  |0            |5        |90        |20         |115               |
|6.716  |0            |4        |91        |20         |115               |
|6.787  |0            |4        |90        |21         |115               |
|6.859  |0            |4        |89        |22         |115               |
|6.931  |0            |4        |88        |23         |115               |
|7.004  |0            |4        |87        |24         |115               |
|7.078  |0            |4        |86        |25         |115               |
|7.152  |0            |3        |87        |25         |115               |
|7.232  |0            |3        |86        |26         |115               |
|7.312  |0            |3        |85        |27         |115               |
|7.394  |0            |3        |84        |28         |115               |
|7.476  |0            |3        |83        |29         |115               |
|7.559  |0            |3        |82        |30         |115               |
|7.642  |0            |3        |81        |31         |115               |
|7.727  |0            |3        |80        |32         |115               |
|7.812  |0            |3        |79        |33         |115               |
|7.898  |0            |3        |78        |34         |115               |
|7.984  |0            |3        |77        |35         |115               |
|8.072  |0            |3        |76        |36         |115               |
|8.160  |0            |3        |75        |37         |115               |
|8.249  |0            |3        |74        |38         |115               |
|8.339  |0            |2        |75        |38         |115               |
|8.438  |0            |2        |74        |39         |115               |
|8.538  |0            |2        |73        |40         |115               |
|8.639  |0            |2        |72        |41         |115               |
|8.741  |0            |2        |71        |42         |115               |
|8.844  |0            |1        |72        |42         |115               |
|8.959  |0            |1        |71        |43         |115               |
|9.076  |0            |1        |70        |44         |115               |
|9.195  |0            |1        |69        |45         |115               |
|9.314  |0            |1        |68        |46         |115               |
|9.436  |0            |1        |67        |47         |115               |
|9.558  |0            |1        |66        |48         |115               |
|9.683  |0            |1        |65        |49         |115               |
|9.809  |0            |1        |64        |50         |115               |
|9.937  |0            |1        |63        |51         |115               |
|10.066 |0            |1        |62        |52         |115               |
|10.197 |0            |1        |61        |53         |115               |
|10.331 |0            |1        |60        |54         |115               |
|10.466 |0            |1        |59        |55         |115               |
|10.602 |0            |1        |58        |56         |115               |
|10.741 |0            |1        |57        |57         |115               |
|10.882 |0            |1        |56        |58         |115               |
|11.025 |0            |1        |55        |59         |115               |
|11.171 |0            |0        |56        |59         |115               |
|11.341 |0            |0        |55        |60         |115               |
|11.515 |0            |0        |54        |61         |115               |
|11.692 |0            |0        |53        |62         |115               |
|11.872 |0            |0        |52        |63         |115               |
|12.056 |0            |0        |51        |64         |115               |
|12.243 |0            |0        |50        |65         |115               |
|12.434 |0            |0        |49        |66         |115               |
|12.629 |0            |0        |48        |67         |115               |
|12.828 |0            |0        |47        |68         |115               |
|13.031 |0            |0        |46        |69         |115               |
|13.239 |0            |0        |45        |70         |115               |
|13.451 |0            |0        |44        |71         |115               |
|13.668 |0            |0        |43        |72         |115               |
|13.890 |0            |0        |42        |73         |115               |
|14.118 |0            |0        |41        |74         |115               |
|14.351 |0            |0        |40        |75         |115               |
|14.589 |0            |0        |39        |76         |115               |
|14.834 |0            |0        |38        |77         |115               |
|15.086 |0            |0        |37        |78         |115               |
|15.344 |0            |0        |36        |79         |115               |
|15.609 |0            |0        |35        |80         |115               |
|15.882 |0            |0        |34        |81         |115               |
|16.163 |0            |0        |33        |82         |115               |
|16.452 |0            |0        |32        |83         |115               |
|16.751 |0            |0        |31        |84         |115               |
|17.059 |0            |0        |30        |85         |115               |
|17.377 |0            |0        |29        |86         |115               |
|17.707 |0            |0        |28        |87         |115               |
|18.048 |0            |0        |27        |88         |115               |
|18.402 |0            |0        |26        |89         |115               |
|18.769 |0            |0        |25        |90         |115               |
|19.151 |0            |0        |24        |91         |115               |
|19.549 |0            |0        |23        |92         |115               |
|19.964 |0            |0        |22        |93         |115               |
|20.398 |0            |0        |21        |94         |115               |
|20.853 |0            |0        |20        |95         |115               |
|21.331 |0            |0        |19        |96         |115               |
|21.834 |0            |0        |18        |97         |115               |
|22.364 |0            |0        |17        |98         |115               |
|22.926 |0            |0        |16        |99         |115               |
|23.523 |0            |0        |15        |100        |115               |
|24.160 |0            |0        |14        |101        |115               |
|24.842 |0            |0        |13        |102        |115               |
|25.577 |0            |0        |12        |103        |115               |
|26.373 |0            |0        |11        |104        |115               |
|27.241 |0            |0        |10        |105        |115               |
|28.196 |0            |0        |9         |106        |115               |
|29.258 |0            |0        |8         |107        |115               |
|30.451 |0            |0        |7         |108        |115               |
|31.816 |0            |0        |6         |109        |115               |
|33.408 |0            |0        |5         |110        |115               |
|35.318 |0            |0        |4         |111        |115               |
|37.706 |0            |0        |3         |112        |115               |
|40.890 |0            |0        |2         |113        |115               |
|45.666 |0            |0        |1         |114        |115               |
|55.217 |0            |0        |0         |115        |115               |

6) Simulation preview 
-------------------

| Time  | Susceptible | Exposed | Infected | Recovered | Total Population |
|0.000  |114          |0        |1         |0          |115               |
|55.217 |0            |0        |0         |115        |115               |
