Simulation ID-3932
===================

1) General info 
-------------------
Simulation type: SIR
Thread ID: 6

2) Initial populations 
-------------------
Susceptible: 129
Infected: 3
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.00166423
Infected mortality rate (v): 0.0207643
Recovery rate (r): 0.187872
Incubation period (I): 0.162586
Infection rate (b): 0.539701

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|0.000  |129          |3         |0          |132               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.055  |128          |4         |0          |132               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.098  |128          |3         |1          |132               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.153  |129          |3         |1          |133               | ||| |1       |0                     |0                  |0                   |0                          |0               |
|0.209  |128          |4         |1          |133               | ||| |1       |0                     |0                  |0                   |0                          |0               |
|0.252  |127          |5         |1          |133               | ||| |1       |0                     |0                  |0                   |0                          |0               |
|0.288  |126          |6         |1          |133               | ||| |1       |0                     |0                  |0                   |0                          |0               |
|0.318  |126          |5         |2          |133               | ||| |1       |0                     |0                  |0                   |0                          |0               |
|0.354  |125          |5         |2          |132               | ||| |1       |1                     |0                  |0                   |0                          |1               |
|0.390  |124          |6         |2          |132               | ||| |1       |1                     |0                  |0                   |0                          |1               |
|0.421  |125          |6         |2          |133               | ||| |2       |1                     |0                  |0                   |0                          |1               |
|0.452  |124          |7         |2          |133               | ||| |2       |1                     |0                  |0                   |0                          |1               |
|0.479  |124          |6         |3          |133               | ||| |2       |1                     |0                  |0                   |0                          |1               |
|0.510  |123          |7         |3          |133               | ||| |2       |1                     |0                  |0                   |0                          |1               |
|0.537  |122          |8         |3          |133               | ||| |2       |1                     |0                  |0                   |0                          |1               |
|0.561  |122          |7         |4          |133               | ||| |2       |1                     |0                  |0                   |0                          |1               |
|0.588  |122          |6         |4          |132               | ||| |2       |1                     |0                  |0                   |1                          |2               |
|0.619  |121          |6         |4          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.650  |120          |7         |4          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.677  |119          |8         |4          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.701  |118          |9         |4          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.723  |117          |10        |4          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.743  |116          |11        |4          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.761  |116          |10        |5          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.781  |116          |9         |6          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.803  |116          |8         |7          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.828  |116          |7         |8          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.855  |115          |8         |8          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.880  |114          |9         |8          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.902  |113          |10        |8          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.923  |112          |11        |8          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.941  |111          |12        |8          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.959  |110          |13        |8          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.975  |110          |12        |9          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|0.992  |109          |13        |9          |131               | ||| |2       |2                     |0                  |0                   |1                          |3               |
|1.008  |108          |13        |9          |130               | ||| |2       |3                     |0                  |0                   |1                          |4               |
