Simulation ID-55
===================

1) General info 
-------------------
Simulation type: SEIR
Thread ID: 4

2) Initial populations 
-------------------
Susceptible: 110
Exposed: 0
Infected: 1
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.00107642
Infected mortality rate (v): 0.0294839
Recovery rate (r): 0.0851615
Incubation period (I): 0.0170466
Infection rate (b): 0.494097

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Exposed | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|0.000  |110          |0        |1         |0          |111               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.173  |109          |1        |1         |0          |111               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.343  |109          |1        |0         |1          |111               | ||| |0       |0                     |0                  |0                   |0                          |0               |
|0.914  |108          |1        |0         |1          |110               | ||| |0       |1                     |0                  |0                   |0                          |1               |
|1.490  |109          |1        |0         |1          |111               | ||| |1       |1                     |0                  |0                   |0                          |1               |
|2.061  |110          |1        |0         |1          |112               | ||| |2       |1                     |0                  |0                   |0                          |1               |
|2.627  |111          |1        |0         |1          |113               | ||| |3       |1                     |0                  |0                   |0                          |1               |
|3.189  |112          |1        |0         |1          |114               | ||| |4       |1                     |0                  |0                   |0                          |1               |
|3.746  |113          |1        |0         |1          |115               | ||| |5       |1                     |0                  |0                   |0                          |1               |
|4.298  |112          |1        |0         |1          |114               | ||| |5       |2                     |0                  |0                   |0                          |2               |
|4.855  |113          |1        |0         |1          |115               | ||| |6       |2                     |0                  |0                   |0                          |2               |
|5.407  |112          |1        |0         |1          |114               | ||| |6       |3                     |0                  |0                   |0                          |3               |
|5.964  |112          |0        |1         |1          |114               | ||| |6       |3                     |0                  |0                   |0                          |3               |
|6.136  |111          |0        |1         |1          |113               | ||| |6       |4                     |0                  |0                   |0                          |4               |
|6.309  |110          |1        |1         |1          |113               | ||| |6       |4                     |0                  |0                   |0                          |4               |
|6.479  |109          |2        |1         |1          |113               | ||| |6       |4                     |0                  |0                   |0                          |4               |
|6.647  |108          |3        |1         |1          |113               | ||| |6       |4                     |0                  |0                   |0                          |4               |
|6.813  |107          |4        |1         |1          |113               | ||| |6       |4                     |0                  |0                   |0                          |4               |
|6.977  |106          |5        |1         |1          |113               | ||| |6       |4                     |0                  |0                   |0                          |4               |
|7.138  |106          |5        |0         |2          |113               | ||| |6       |4                     |0                  |0                   |0                          |4               |
|7.589  |107          |5        |0         |2          |114               | ||| |7       |4                     |0                  |0                   |0                          |4               |
|8.036  |108          |5        |0         |2          |115               | ||| |8       |4                     |0                  |0                   |0                          |4               |
|8.481  |109          |5        |0         |2          |116               | ||| |9       |4                     |0                  |0                   |0                          |4               |
|8.923  |110          |5        |0         |2          |117               | ||| |10      |4                     |0                  |0                   |0                          |4               |
|9.362  |110          |4        |1         |2          |117               | ||| |10      |4                     |0                  |0                   |0                          |4               |
|9.524  |84           |4        |1         |29         |118               | ||| |11      |4                     |0                  |0                   |0                          |4               |
|9.710  |83           |5        |1         |29         |118               | ||| |11      |4                     |0                  |0                   |0                          |4               |
|9.893  |83           |5        |0         |30         |118               | ||| |11      |4                     |0                  |0                   |0                          |4               |
|10.329 |82           |5        |0         |30         |117               | ||| |11      |5                     |0                  |0                   |0                          |5               |
|10.768 |83           |5        |0         |30         |118               | ||| |12      |5                     |0                  |0                   |0                          |5               |
|11.204 |83           |5        |0         |29         |117               | ||| |12      |5                     |0                  |1                   |0                          |6               |
|11.642 |83           |5        |0         |28         |116               | ||| |12      |5                     |0                  |2                   |0                          |7               |
|12.084 |83           |5        |0         |27         |115               | ||| |12      |5                     |0                  |3                   |0                          |8               |
|12.529 |83           |5        |0         |26         |114               | ||| |12      |5                     |0                  |4                   |0                          |9               |
|12.976 |84           |5        |0         |26         |115               | ||| |13      |5                     |0                  |4                   |0                          |9               |
|13.421 |85           |5        |0         |26         |116               | ||| |14      |5                     |0                  |4                   |0                          |9               |
|13.863 |84           |5        |0         |26         |115               | ||| |14      |6                     |0                  |4                   |0                          |10              |
|14.307 |84           |4        |1         |26         |115               | ||| |14      |6                     |0                  |4                   |0                          |10              |
|14.492 |84           |3        |2         |26         |115               | ||| |14      |6                     |0                  |4                   |0                          |10              |
|14.609 |84           |3        |1         |26         |114               | ||| |14      |6                     |0                  |4                   |1                          |11              |
|14.798 |83           |4        |1         |26         |114               | ||| |14      |6                     |0                  |4                   |1                          |11              |
|14.983 |82           |5        |1         |26         |114               | ||| |14      |6                     |0                  |4                   |1                          |11              |
|15.166 |83           |5        |1         |26         |115               | ||| |15      |6                     |0                  |4                   |1                          |11              |
|15.349 |82           |6        |1         |26         |115               | ||| |15      |6                     |0                  |4                   |1                          |11              |
|15.528 |83           |6        |1         |26         |116               | ||| |16      |6                     |0                  |4                   |1                          |11              |
|15.707 |82           |7        |1         |26         |116               | ||| |16      |6                     |0                  |4                   |1                          |11              |
|15.884 |82           |6        |2         |26         |116               | ||| |16      |6                     |0                  |4                   |1                          |11              |
|15.998 |81           |7        |2         |26         |116               | ||| |16      |6                     |0                  |4                   |1                          |11              |
|16.112 |82           |7        |2         |26         |117               | ||| |17      |6                     |0                  |4                   |1                          |11              |
|16.225 |82           |6        |3         |26         |117               | ||| |17      |6                     |0                  |4                   |1                          |11              |
|16.309 |81           |6        |3         |26         |116               | ||| |17      |7                     |0                  |4                   |1                          |12              |
|16.393 |81           |6        |3         |25         |115               | ||| |17      |7                     |0                  |5                   |1                          |13              |
|16.477 |80           |7        |3         |25         |115               | ||| |17      |7                     |0                  |5                   |1                          |13              |
|16.561 |79           |8        |3         |25         |115               | ||| |17      |7                     |0                  |5                   |1                          |13              |
|16.645 |78           |8        |3         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|16.729 |77           |9        |3         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|16.813 |77           |8        |4         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|16.880 |76           |9        |4         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|16.948 |75           |10       |4         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|17.015 |74           |11       |4         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|17.082 |74           |10       |5         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|17.139 |73           |11       |5         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|17.195 |72           |12       |5         |25         |114               | ||| |17      |8                     |0                  |5                   |1                          |14              |
|17.252 |72           |12       |4         |25         |113               | ||| |17      |8                     |0                  |5                   |2                          |15              |
|17.319 |71           |13       |4         |25         |113               | ||| |17      |8                     |0                  |5                   |2                          |15              |
|17.387 |70           |14       |4         |25         |113               | ||| |17      |8                     |0                  |5                   |2                          |15              |
|17.455 |69           |15       |4         |25         |113               | ||| |17      |8                     |0                  |5                   |2                          |15              |
|17.522 |68           |15       |4         |25         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|17.590 |67           |16       |4         |25         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|17.659 |66           |17       |4         |25         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|17.727 |65           |18       |4         |25         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|17.795 |64           |19       |4         |25         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|17.863 |63           |20       |4         |25         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|17.932 |63           |19       |5         |25         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|17.990 |63           |19       |4         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.058 |63           |18       |5         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.117 |63           |17       |6         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.168 |62           |18       |6         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.219 |61           |19       |6         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.270 |60           |20       |6         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.321 |60           |19       |7         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.367 |60           |18       |8         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.407 |59           |19       |8         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.448 |59           |18       |9         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.486 |58           |19       |9         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.523 |57           |20       |9         |26         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.561 |57           |20       |8         |27         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.603 |57           |19       |9         |27         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.641 |57           |19       |8         |28         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.683 |57           |18       |9         |28         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.721 |56           |19       |9         |28         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.759 |55           |20       |9         |28         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.798 |54           |21       |9         |28         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.836 |53           |22       |9         |28         |112               | ||| |17      |9                     |0                  |5                   |2                          |16              |
|18.875 |53           |22       |8         |28         |111               | ||| |17      |9                     |0                  |5                   |3                          |17              |
|18.918 |52           |23       |8         |28         |111               | ||| |17      |9                     |0                  |5                   |3                          |17              |
|18.961 |51           |24       |8         |28         |111               | ||| |17      |9                     |0                  |5                   |3                          |17              |
|19.005 |50           |25       |8         |28         |111               | ||| |17      |9                     |0                  |5                   |3                          |17              |
|19.048 |49           |26       |8         |28         |111               | ||| |17      |9                     |0                  |5                   |3                          |17              |
|19.092 |48           |27       |8         |28         |111               | ||| |17      |9                     |0                  |5                   |3                          |17              |
|19.136 |49           |27       |8         |28         |112               | ||| |18      |9                     |0                  |5                   |3                          |17              |
|19.180 |48           |28       |8         |28         |112               | ||| |18      |9                     |0                  |5                   |3                          |17              |
|19.224 |47           |29       |8         |28         |112               | ||| |18      |9                     |0                  |5                   |3                          |17              |
|19.269 |46           |30       |8         |28         |112               | ||| |18      |9                     |0                  |5                   |3                          |17              |
|19.313 |45           |31       |8         |28         |112               | ||| |18      |9                     |0                  |5                   |3                          |17              |
|19.358 |45           |31       |7         |28         |111               | ||| |18      |9                     |0                  |5                   |4                          |18              |
|19.408 |45           |31       |7         |27         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.457 |45           |31       |6         |28         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.513 |44           |32       |6         |28         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.568 |43           |33       |6         |28         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.624 |43           |32       |7         |28         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.674 |42           |33       |7         |28         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.724 |41           |34       |7         |28         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.775 |41           |33       |8         |28         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.821 |40           |34       |8         |28         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.868 |40           |34       |7         |29         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.919 |40           |34       |6         |30         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|19.976 |40           |34       |5         |31         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|20.041 |40           |34       |4         |32         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|20.115 |40           |34       |3         |33         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|20.203 |40           |33       |4         |33         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|20.278 |40           |33       |3         |34         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|20.366 |40           |32       |4         |34         |110               | ||| |18      |9                     |0                  |6                   |4                          |19              |
|20.442 |40           |32       |4         |33         |109               | ||| |18      |9                     |0                  |7                   |4                          |20              |
|20.517 |39           |33       |4         |33         |109               | ||| |18      |9                     |0                  |7                   |4                          |20              |
|20.593 |38           |33       |4         |33         |108               | ||| |18      |10                    |0                  |7                   |4                          |21              |
|20.669 |38           |33       |3         |33         |107               | ||| |18      |10                    |0                  |7                   |5                          |22              |
|20.758 |37           |34       |3         |33         |107               | ||| |18      |10                    |0                  |7                   |5                          |22              |
|20.848 |36           |35       |3         |33         |107               | ||| |18      |10                    |0                  |7                   |5                          |22              |
|20.937 |35           |36       |3         |33         |107               | ||| |18      |10                    |0                  |7                   |5                          |22              |
|21.026 |35           |35       |4         |33         |107               | ||| |18      |10                    |0                  |7                   |5                          |22              |
|21.103 |35           |35       |3         |34         |107               | ||| |18      |10                    |0                  |7                   |5                          |22              |
|21.193 |35           |34       |4         |34         |107               | ||| |18      |10                    |0                  |7                   |5                          |22              |
|21.270 |35           |33       |5         |34         |107               | ||| |18      |10                    |0                  |7                   |5                          |22              |
|21.338 |36           |33       |5         |34         |108               | ||| |19      |10                    |0                  |7                   |5                          |22              |
|21.406 |35           |34       |5         |34         |108               | ||| |19      |10                    |0                  |7                   |5                          |22              |
|21.474 |34           |35       |5         |34         |108               | ||| |19      |10                    |0                  |7                   |5                          |22              |
|21.542 |33           |36       |5         |34         |108               | ||| |19      |10                    |0                  |7                   |5                          |22              |
|21.610 |33           |36       |4         |35         |108               | ||| |19      |10                    |0                  |7                   |5                          |22              |
|21.688 |32           |37       |4         |35         |108               | ||| |19      |10                    |0                  |7                   |5                          |22              |
|21.765 |32           |37       |3         |36         |108               | ||| |19      |10                    |0                  |7                   |5                          |22              |
|21.856 |31           |38       |3         |36         |108               | ||| |19      |10                    |0                  |7                   |5                          |22              |
|21.947 |31           |38       |3         |35         |107               | ||| |19      |10                    |0                  |8                   |5                          |23              |
|22.037 |31           |37       |4         |35         |107               | ||| |19      |10                    |0                  |8                   |5                          |23              |
